epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.37324,1.17324,3.32809,1.50783,0.67821,0.37981,0.42208,0.38277,1.23175,7.53136,1.64348,0.00015,0.00015,0.00015
2,11.0399,1.1767,2.22439,1.52992,0.30344,0.33897,0.08799,0.06077,1.48974,21.2369,1.91893,0.000312195,0.000312195,0.000312195
3,16.5455,1.19877,2.01786,1.54441,0.01696,0.34813,0.01678,0.01236,2.23985,inf,5.15217,0.000473146,0.000473146,0.000473146
4,21.4641,1.32248,1.9637,1.60456,0.018,0.08692,0.00652,0.00373,3.11166,inf,25.0418,0.000631911,0.000631911,0.000631911
5,26.6531,1.31172,1.96978,1.57045,0,0,0,0,nan,nan,nan,0.000787559,0.000787559,0.000787559
6,31.7671,1.35116,1.89678,1.59106,0.00182,0.14784,0.00191,0.00062,3.07528,inf,165.239,0.000939181,0.000939181,0.000939181
7,36.5332,1.39863,1.84415,1.63575,0.00053,0.1875,0.00038,0.00015,3.22425,inf,11.4228,0.00108589,0.00108589,0.00108589
8,41.2967,1.32155,1.84925,1.60515,0.00086,0.0193,0.00046,5e-05,4.00764,inf,22.8985,0.00119111,0.00119111,0.00119111
9,46.3269,1.39656,1.93424,1.63868,0.25021,0.04044,0.00025,9e-05,3.29052,inf,6.0046,0.00117346,0.00117346,0.00117346
10,51.2098,1.38675,1.71837,1.5797,0.09733,0.18371,0.05657,0.03037,2.60589,19.4277,3.86359,0.00115368,0.00115368,0.00115368
11,56.1405,1.31025,1.65459,1.56457,0.25775,0.01923,0.00603,0.00215,2.65626,51.9644,5.31292,0.00113183,0.00113183,0.00113183
12,61.0944,1.30313,1.60029,1.59719,0.38365,0.25245,0.12575,0.06577,2.07537,11.1177,2.95455,0.00110801,0.00110801,0.00110801
13,66.0762,1.28929,1.51231,1.56519,0.24815,0.34714,0.12849,0.07757,2.28221,23.0977,3.04477,0.0010823,0.0010823,0.0010823
14,70.8835,1.30875,1.50301,1.56588,0.20766,0.19792,0.2159,0.1572,2.23833,4.98115,2.79554,0.00105481,0.00105481,0.00105481
15,75.8371,1.22642,1.44573,1.51804,0.47217,0.5559,0.55363,0.36174,1.66639,4.09252,2.31156,0.00102566,0.00102566,0.00102566
16,80.7278,1.21817,1.44632,1.53625,0.57012,0.4884,0.51476,0.34872,1.67671,3.65736,2.20001,0.000994942,0.000994942,0.000994942
17,85.7355,1.27416,1.53226,1.56567,0.55531,0.58755,0.59172,0.43341,1.4558,2.88711,2.00124,0.000962793,0.000962793,0.000962793
18,90.6615,1.17914,1.37358,1.45177,0.91531,0.35345,0.53493,0.35663,1.66584,2.499,2.24353,0.000929335,0.000929335,0.000929335
19,95.3784,1.18795,1.36047,1.46773,0.79546,0.48608,0.64879,0.48569,1.43889,1.90472,1.90224,0.000894701,0.000894701,0.000894701
20,100.351,1.12445,1.32828,1.45614,0.63104,0.74491,0.72844,0.55922,1.29555,2.18617,1.82261,0.000859027,0.000859027,0.000859027
21,105.399,1.04995,1.22648,1.4027,0.71846,0.72307,0.73431,0.57794,1.26753,1.55248,1.74369,0.000822454,0.000822454,0.000822454
22,110.607,1.0764,1.25579,1.39324,0.49836,0.65982,0.68531,0.5447,1.2613,1.95689,1.70735,0.000785127,0.000785127,0.000785127
23,115.449,1.07839,1.25714,1.40945,0.61236,0.71523,0.72377,0.52531,1.41168,1.69881,1.8509,0.000747192,0.000747192,0.000747192
24,120.39,1.08086,1.24061,1.40574,0.73239,0.76075,0.75617,0.61146,1.16934,1.6116,1.65936,0.0007088,0.0007088,0.0007088
25,125.267,1.08357,1.20831,1.40685,0.72576,0.7319,0.77897,0.6411,1.13528,1.48726,1.5873,0.000670102,0.000670102,0.000670102
26,130.257,1.0418,1.1764,1.36112,0.73032,0.67561,0.75902,0.62884,1.15555,1.39203,1.59362,0.00063125,0.00063125,0.00063125
27,134.941,1.09361,1.25509,1.41815,0.68854,0.74753,0.76667,0.62869,1.17688,1.29085,1.57983,0.000592398,0.000592398,0.000592398
28,139.805,0.98229,1.11023,1.34996,0.71864,0.76762,0.77089,0.62537,1.14402,1.3215,1.62953,0.0005537,0.0005537,0.0005537
